reference_group_id,document_id,role
RG-entry_year=2004,WARG4634,member
RG-entry_year=2004,WARG4635,member
RG-entry_year=2004,WARG4670,member
RG-entry_year=2005,WARG0040,member
RG-entry_year=2005,WARG0041,member
RG-entry_year=2005,WARG0042,member
RG-entry_year=2005,WARG0062,member
RG-entry_year=2005,WARG0063,member
RG-entry_year=2005,WARG0064,member
RG-entry_year=2005,WARG0065,member
RG-entry_year=2005,WARG0066,member
RG-entry_year=2005,WARG0067,member
RG-entry_year=2005,WARG0073,member
RG-entry_year=2005,WARG0074,member
RG-entry_year=2005,WARG0075,member
RG-entry_year=2005,WARG0076,member
RG-entry_year=2005,WARG0077,member
RG-entry_year=2005,WARG0078,member
RG-entry_year=2005,WARG0079,member
RG-entry_year=2005,WARG0093,member
RG-entry_year=2005,WARG0094,member
RG-entry_year=2005,WARG0095,member
RG-entry_year=2005,WARG0096,member
RG-entry_year=2005,WARG0097,member
RG-entry_year=2005,WARG0098,member
RG-entry_year=2005,WARG0099,member
RG-entry_year=2005,WARG0109,member
RG-entry_year=2005,WARG0110,member
RG-entry_year=2005,WARG0120,member
RG-entry_year=2005,WARG0121,member
RG-entry_year=2005,WARG0131,member
RG-entry_year=2005,WARG0146,member
RG-entry_year=2005,WARG0147,member
RG-entry_year=2005,WARG0148,member
RG-entry_year=2005,WARG0159,member
RG-entry_year=2005,WARG0160,member
RG-entry_year=2005,WARG0161,member
RG-entry_year=2005,WARG0162,member
RG-entry_year=2005,WARG0163,member
RG-entry_year=2005,WARG0164,member
RG-entry_year=2005,WARG0165,member
RG-entry_year=2005,WARG0166,member
RG-entry_year=2005,WARG0167,member
RG-entry_year=2005,WARG0168,member
RG-entry_year=2005,WARG0169,member
RG-entry_year=2005,WARG0170,member
RG-entry_year=2005,WARG0171,member
RG-entry_year=2005,WARG0172,member
RG-entry_year=2005,WARG0173,member
RG-entry_year=2005,WARG0174,member
RG-entry_year=2005,WARG0175,member
RG-entry_year=2005,WARG0176,member
RG-entry_year=2005,WARG0177,member
RG-entry_year=2005,WARG0178,member
