relative_path,filename,extension,bytes,sha256,detected_encoding,encoding_status,corpus_component,text_variant,physical_status
SECCL20/AUDIO/TASK1/2003/03-160/03-160-05B.mp3,03-160-05B.mp3,.mp3,780146,f2cd8a88833ea31d785e09fb1c45268296a534fb8203c02ec5c046613be08b23,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-06B.mp3,03-160-06B.mp3,.mp3,442644,0a176f7cff97cbddc61f3c746c258234baf0aff31cd37a6d162c4da778b8c0d6,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-07A.mp3,03-160-07A.mp3,.mp3,759039,a94482d3d94a8efc7af6ebef71b349cdbebf7036339b93213603cd9657c774f1,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-09A.mp3,03-160-09A.mp3,.mp3,800730,16c97170cde31182e1adcb30c215b2b63e225c1396d406993b4785d8bf39a69e,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-10B.mp3,03-160-10B.mp3,.mp3,420492,f78e34bf9fcfc52a0f1400ac87538965a9a96bce64064b4288ef1111b7583585,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-11A.mp3,03-160-11A.mp3,.mp3,751411,877ef82ae012bcced2a75399e189008ec373d1a5682a3d4dad12897ed7f8dc68,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-12A.mp3,03-160-12A.mp3,.mp3,767503,83b9525e95f8e4da4e5b258bf579c48434657cc6b1596bee4a86e85481bb764a,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-13A.mp3,03-160-13A.mp3,.mp3,809821,bec95f2a464dddbbc40fcb22e52bb977a4d873a52d36030429f7ce34e54cea28,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-14B.mp3,03-160-14B.mp3,.mp3,795715,f133d70c4a867b658e2c1f6614d06ef841965c7f8a979dc416969fb3d1281858,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-15A.mp3,03-160-15A.mp3,.mp3,813792,12a8f16b980e86e68a4c2eb9189f7994b71d37053bdfd7e21169daede6405dbd,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-16B.mp3,03-160-16B.mp3,.mp3,636054,9bdde2476517cafd8647b6a470210948ae8757bd1c49e243af8474083f9d9f85,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-17B.mp3,03-160-17B.mp3,.mp3,741380,184c9cde89510b16666ae4e7ae1485c2222692e6e08a611e3da33a4973114b70,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-19A.mp3,03-160-19A.mp3,.mp3,745978,78008f90d97f0194fe851061cf0ba270a6f38cd030ebe5cce1405b801be2da1e,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-20A.mp3,03-160-20A.mp3,.mp3,805223,8120023d6b2abe051129024cbfef7634026d429e8c9758274cad72b4eb2131bd,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-22A.mp3,03-160-22A.mp3,.mp3,766144,ddb2cb7d32e9d8b6b23cd61d72ebe82964b8ac4a587a02664eca1cde790f9625,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-23B.mp3,03-160-23B.mp3,.mp3,789968,cf0e18980e04659d9cea230a7291a0658af9f9a1277de7b0db3f4b88606500e4,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-25B.mp3,03-160-25B.mp3,.mp3,770533,ab603df4ff466f55000f2f42bdf14632f652331c6b1a5fcb73cf40a08a9c7334,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-26B.mp3,03-160-26B.mp3,.mp3,778265,b61c85b39ebc5611d3b6aaca9a2b61ef8bdc6ff8952273be811e89c5bff58a9d,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-28A.mp3,03-160-28A.mp3,.mp3,817449,3bd5011504d41ad22bee8393cf1da0279966172d7b619da6506fdfc4bc66bb83,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-29A.mp3,03-160-29A.mp3,.mp3,741485,9f8dec11445b11b6449addd6e08824eeffdc1a6c1b9e0768d96dbea7698e3c0f,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-01A.mp3,03-162-01A.mp3,.mp3,765308,39b138dcd879c819bbab42abe21d415c036a469716c5faf297909d78227895ae,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-02A.mp3,03-162-02A.mp3,.mp3,753292,30ddc2363b32db7363ac9d12b6355d566a6c27a4d2086f5fe59a32024d7101eb,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-03A.mp3,03-162-03A.mp3,.mp3,769383,fa6d7894595cbe54922b18a84498edae2bd44dce6e3071bca699146d10ffee84,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-04B.mp3,03-162-04B.mp3,.mp3,738977,0329cfd7f8081129f5fbdc055742b5857cd84926c0dde4205f8d84344bb66491,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-05B.mp3,03-162-05B.mp3,.mp3,750157,5d8ba827f4dbc581cd9e9f7332656ae7010d59840c2ade770443a8dc12d72a42,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-06B.mp3,03-162-06B.mp3,.mp3,611708,e47b68021b5fc7619ae124a295ce29ee340c84ff6a7606c2ddb91142c0a5b500,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-07A.mp3,03-162-07A.mp3,.mp3,757889,ed3b338651f4c0d4852bbe3c424ed265e802f2a1ede2e378e32ed693de4bf8d7,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-08A.mp3,03-162-08A.mp3,.mp3,680254,8fdd0d1ab86f152a0f7a55f3f7a4c29936a93df9e870e0322217dc736070d42b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-09A.mp3,03-162-09A.mp3,.mp3,540237,5b5a4342e72d82e4759f6baf2b1dac62d9e2178ba0018c73589be4646514b481,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-10B.mp3,03-162-10B.mp3,.mp3,745455,d4a028cb6d0acae7de9bc4668aee88cd058afd96591436f3570ca50b215cce1e,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-11B.mp3,03-162-11B.mp3,.mp3,774190,97cd24e937a400bfec7b99108f2fb7799b06604e7bce7f4ea1d08a4edb4e57a7,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-12A.mp3,03-162-12A.mp3,.mp3,736469,aae134f06474de4dc2ad23726b47f2674f3af4c4e4516a1b4253448585352dd3,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-13B.mp3,03-162-13B.mp3,.mp3,772727,8a81ba306e1c540de021acb0ade269f083aedc759060592b172b92a0037f84e4,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-162/03-162-14B.mp3,03-162-14B.mp3,.mp3,796446,cc4ec0c338dbaac3fada48820686fce6896380ebb02c57255923fc01ddff38ef,needs_review,needs_review,seccl_audio,,ok
