document_id,source_relative_path,derived_relative_path,source_sha256,corpus,domain,genre,genre_from_filename,prompt_id,major_type,entry_year,grade,timed_status,header_raw,metadata_status,metadata_source,raw_usable,lemma_usable,tagged_usable
WARG3741,WECCL20/RAW/WARG3741.txt,WECCL20/RAW/WARG3741.txt,79630051f380690f4cc2556f5f1dcc02976fdd048748b8693a7967be199b4fe7,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,english_major,2006,2,timed,<STU1><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3742,WECCL20/RAW/WARG3742.txt,WECCL20/RAW/WARG3742.txt,db99786ac1db53efcef7cb4365eb1ed82b47d935b5eaa7e5ab9c4cc43a672880,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,english_major,2006,2,timed,<STU1><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3743,WECCL20/RAW/WARG3743.txt,WECCL20/RAW/WARG3743.txt,78602da89df6f4dc603d09fbd30406c7e812fd0769d8c9f763664cbe2baee501,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,english_major,2006,2,timed,<STU1><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3744,WECCL20/RAW/WARG3744.txt,WECCL20/RAW/WARG3744.txt,d77efa4d09a17638bea5f69209eca607663a93dad4935d87ea70bedbfa7c0ad5,weccl_2_0,l2_writing,argumentative,argumentative,ARG02,english_major,2006,2,timed,<STU1><ARG02><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3745,WECCL20/RAW/WARG3745.txt,WECCL20/RAW/WARG3745.txt,a99b24be7ecf248f03427957978e8e1281bb6745d3309e4dd61053581676ecd0,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3746,WECCL20/RAW/WARG3746.txt,WECCL20/RAW/WARG3746.txt,94bc80cd978ca7ad60c585a55d45c3e0531851a0f8f0a6341b1b7ec47d2c1473,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3747,WECCL20/RAW/WARG3747.txt,WECCL20/RAW/WARG3747.txt,639ef6f294de53c9e9ea626a8feb6e98369818ed53f0501d6d71a3d0ed54a37b,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3748,WECCL20/RAW/WARG3748.txt,WECCL20/RAW/WARG3748.txt,45b3035a536d341392c10d0358a06354d414d5a15d08081731ce10032f06c4d5,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3749,WECCL20/RAW/WARG3749.txt,WECCL20/RAW/WARG3749.txt,b8df503e7439596d3e2d91f251d4e4664fac2e53b2990bf3fff4d36d59319400,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3750,WECCL20/RAW/WARG3750.txt,WECCL20/RAW/WARG3750.txt,f949fd4fa244cdfc944e9746991b6f3fa504dbbae8893b071d1356e152691250,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3751,WECCL20/RAW/WARG3751.txt,WECCL20/RAW/WARG3751.txt,a6099ffbeb71aeaa84f0e05ea26395a72e27f75f209f82ec91e8c948440d8013,weccl_2_0,l2_writing,argumentative,argumentative,ARG17,non_english_major,2006,1,timed,<STU2><ARG17><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
