scope,kind,members,n,detail
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1416.txt,WECCL20/LEMMA/WARG1806.txt",2,identical sha256 860c2179d8557c2c...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0956.txt,WECCL20/LEMMA/WARG1814.txt",2,identical sha256 87f99171a8a711cc...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0474.txt,WECCL20/LEMMA/WARG0864.txt",2,identical sha256 88b2c89eca5663bf...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0015.txt,WECCL20/LEMMA/WARG0874.txt",2,identical sha256 89b4b60b5a54b460...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0383.txt,WECCL20/LEMMA/WARG3661.txt",2,identical sha256 8bd604812d4aa161...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1409.txt,WECCL20/LEMMA/WARG1799.txt",2,identical sha256 8c7d9aff59a367a7...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0482.txt,WECCL20/LEMMA/WARG0872.txt",2,identical sha256 91ad575cec183546...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4218.txt,WECCL20/LEMMA/WARG4608.txt",2,identical sha256 9a714b6b338523c5...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0018.txt,WECCL20/LEMMA/WARG0877.txt",2,identical sha256 9c261a850ec7fc70...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0384.txt,WECCL20/LEMMA/WARG3662.txt",2,identical sha256 9f580148896038a6...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2814.txt,WECCL20/LEMMA/WARG3204.txt",2,identical sha256 9f5d27902c7093e6...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0949.txt,WECCL20/LEMMA/WARG1339.txt",2,identical sha256 a04ce12caf538a92...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1880.txt,WECCL20/LEMMA/WARG2270.txt",2,identical sha256 a4ccea04d75b7efc...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2343.txt,WECCL20/LEMMA/WARG2733.txt",2,identical sha256 a61e13adc2f9a788...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0385.txt,WECCL20/LEMMA/WARG1788.txt",2,identical sha256 a76f734e189bfa21...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2352.txt,WECCL20/LEMMA/WARG2742.txt",2,identical sha256 a7b02a3692e1b750...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2726.txt,WECCL20/LEMMA/WARG4128.txt",2,identical sha256 a818e9ed70c55f27...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2821.txt,WECCL20/LEMMA/WARG3211.txt",2,identical sha256 aaf025069e28dea3...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0013.txt,WECCL20/LEMMA/WARG0403.txt",2,identical sha256 abbe91efd26bc457...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0475.txt,WECCL20/LEMMA/WARG0865.txt",2,identical sha256 aca166f5749d07b9...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0950.txt,WECCL20/LEMMA/WARG1340.txt",2,identical sha256 ade398925872a488...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0665.txt,WECCL20/LEMMA/WARG1127.txt",2,identical sha256 afd9c0fc264057fe...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2811.txt,WECCL20/LEMMA/WARG3201.txt",2,identical sha256 b58e968da17f31cf...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2358.txt,WECCL20/LEMMA/WARG3216.txt",2,identical sha256 b7ba572c6ee8703c...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0487.txt,WECCL20/LEMMA/WARG1345.txt",2,identical sha256 b7d56785bc122e8c...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3292.txt,WECCL20/LEMMA/WARG4150.txt",2,identical sha256 bd3da88cf124d5f6...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0485.txt,WECCL20/LEMMA/WARG1343.txt",2,identical sha256 bdaa630106431500...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4219.txt,WECCL20/LEMMA/WARG4609.txt",2,identical sha256 c1aba7be4ae8023e...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1321.txt,WECCL20/LEMMA/WARG2723.txt",2,identical sha256 c8fe413fc2bfc1dc...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1422.txt,WECCL20/LEMMA/WARG2280.txt",2,identical sha256 c902fc5efabb68b8...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3749.txt,WECCL20/LEMMA/WARG4139.txt",2,identical sha256 cdedfb1aa959b9e4...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0019.txt,WECCL20/LEMMA/WARG0878.txt",2,identical sha256 d0c5d7a844b1cb09...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3199.txt,WECCL20/LEMMA/WARG3277.txt",2,identical sha256 d2694429f1433ea0...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1415.txt,WECCL20/LEMMA/WARG1805.txt",2,identical sha256 d3dafbea3cc8750e...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3291.txt,WECCL20/LEMMA/WARG4149.txt",2,identical sha256 d9f78be7103acb08...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0011.txt,WECCL20/LEMMA/WARG0401.txt",2,identical sha256 db077dddd93255a8...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3278.txt,WECCL20/LEMMA/WARG3668.txt",2,identical sha256 db1136c66f2c6972...
